Time,THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5::Des Sens Cool Load [W],THERMAL ZONE 5:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5::Des Cool Mass Flow [kg/s],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1::Des Sens Cool Load [W],THERMAL ZONE 1:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1::Des Cool Mass Flow [kg/s],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3::Des Sens Cool Load [W],THERMAL ZONE 3:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3::Des Cool Mass Flow [kg/s],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4::Des Sens Cool Load [W],THERMAL ZONE 4:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4::Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2::Des Sens Cool Load [W],THERMAL ZONE 2:PHILADELPHIA INTERNATIONAL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2::Des Cool Mass Flow [kg/s] 
09:00:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
09:15:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
09:30:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
09:45:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
10:00:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
10:15:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
10:30:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
10:45:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
11:00:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
11:15:00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,7.278393E+02,0.000000E+00,4.461061E-02,0.000000E+00,3.412208E+02,0.000000E+00,2.091405E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00,7.287452E+02,0.000000E+00,4.466613E-02,0.000000E+00 
