Time,THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5::Des Sens Cool Load [W],THERMAL ZONE 5:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5::Des Cool Mass Flow [kg/s],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3::Des Sens Cool Load [W],THERMAL ZONE 3:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3::Des Cool Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SAN FRANCISCO INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
06:00:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
06:15:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
06:30:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
06:45:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
07:00:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
07:15:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
07:30:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
07:45:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,6.064541E+00,4.754045E-02,4.342818E-04,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
08:00:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,4.035172E+01,4.754045E-02,2.834187E-03,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
08:15:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,9.552551E+01,4.754045E-02,6.695391E-03,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
08:30:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,1.603004E+02,4.754045E-02,1.122842E-02,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
08:45:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,2.352203E+02,4.754045E-02,1.646155E-02,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
09:00:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,2.944768E+02,4.754045E-02,2.060805E-02,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
09:15:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,3.415308E+02,4.754045E-02,2.390101E-02,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
09:30:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,3.854803E+02,4.754045E-02,2.697683E-02,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
09:45:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,4.175987E+02,4.754045E-02,2.922471E-02,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
10:00:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,4.392841E+02,4.754045E-02,3.074243E-02,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
10:15:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,4.523209E+02,4.754045E-02,3.165489E-02,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
10:30:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,4.571126E+02,4.754045E-02,3.199032E-02,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00 
10:45:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,4.539523E+02,4.754045E-02,3.176921E-02,7.756408E+02,1.796531E+01,4.754045E-02,1.267022E-03 
11:00:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,4.426558E+02,4.754045E-02,3.097868E-02,7.756408E+02,5.107332E+01,4.754045E-02,3.584314E-03 
11:15:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,4.214613E+02,4.754045E-02,2.949543E-02,7.756408E+02,9.596491E+01,4.754045E-02,6.725936E-03 
11:30:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,3.871613E+02,4.754045E-02,2.709500E-02,7.756408E+02,1.571476E+02,4.754045E-02,1.100761E-02 
11:45:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,3.372486E+02,4.754045E-02,2.360193E-02,7.756408E+02,2.140901E+02,4.754045E-02,1.498275E-02 
12:00:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,2.797526E+02,4.754045E-02,1.957817E-02,7.756408E+02,2.680870E+02,4.754045E-02,1.876118E-02 
12:15:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,2.153066E+02,4.754045E-02,1.506799E-02,7.756408E+02,3.207636E+02,4.754045E-02,2.244754E-02 
12:30:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,1.570817E+02,4.754045E-02,1.099320E-02,7.756408E+02,3.659384E+02,4.754045E-02,2.560896E-02 
12:45:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,1.127899E+02,4.754045E-02,7.893485E-03,7.756408E+02,4.046394E+02,4.754045E-02,2.831746E-02 
13:00:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,7.828674E+01,4.754045E-02,5.478819E-03,7.756408E+02,4.370387E+02,4.754045E-02,3.058501E-02 
13:15:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,5.765047E+01,4.754045E-02,4.034611E-03,7.756408E+02,4.635563E+02,4.754045E-02,3.244098E-02 
13:30:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,7.756408E+02,4.333506E+01,4.754045E-02,3.032761E-03,7.756408E+02,4.847621E+02,4.754045E-02,3.392523E-02 
13:45:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,6.364007E+00,4.758213E-02,4.473317E-04,7.756408E+02,3.239994E+01,4.754045E-02,2.267478E-03,7.756408E+02,5.011261E+02,4.754045E-02,3.507056E-02 
14:00:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,4.633920E+01,4.758213E-02,3.245036E-03,7.756408E+02,2.369225E+01,4.754045E-02,1.658079E-03,7.756408E+02,5.129512E+02,4.754045E-02,3.589820E-02 
14:15:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,9.941322E+01,4.758213E-02,6.959260E-03,7.756408E+02,1.635740E+01,4.754045E-02,1.144757E-03,7.756408E+02,5.201341E+02,4.754045E-02,3.640091E-02 
14:30:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,1.790316E+02,4.758213E-02,1.253106E-02,7.756408E+02,9.681645E+00,4.754045E-02,6.775604E-04,7.756408E+02,5.224680E+02,4.754045E-02,3.656426E-02 
14:45:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,2.779891E+02,4.758213E-02,1.945421E-02,7.756408E+02,4.878691E+00,4.754045E-02,3.414305E-04,7.756408E+02,5.195346E+02,4.754045E-02,3.635898E-02 
15:00:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,3.663540E+02,4.758213E-02,2.563782E-02,7.756408E+02,1.652919E+00,4.754045E-02,1.156779E-04,7.756408E+02,5.107202E+02,4.754045E-02,3.574212E-02 
15:15:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,4.622503E+02,4.758213E-02,3.234867E-02,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,4.953464E+02,4.754045E-02,3.466624E-02 
15:30:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,5.514906E+02,4.758213E-02,3.859385E-02,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,4.728330E+02,4.754045E-02,3.309070E-02 
15:45:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,6.321195E+02,4.758213E-02,4.423657E-02,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,4.425872E+02,4.754045E-02,3.097399E-02 
16:00:00,7.763207E+02,0.000000E+00,4.758213E-02,0.000000E+00,2.410067E+02,0.000000E+00,1.477174E-02,0.000000E+00,7.763207E+02,7.037961E+02,4.758213E-02,4.925296E-02,7.756408E+02,0.000000E+00,4.754045E-02,0.000000E+00,7.756408E+02,4.045484E+02,4.754045E-02,2.831190E-02 
