Time,THERMAL ZONE 3:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:BOISE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:BOISE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2::Des Sens Cool Load [W],THERMAL ZONE 2:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2::Des Cool Mass Flow [kg/s],THERMAL ZONE 1:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:BOISE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:BOISE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4::Des Sens Cool Load [W],THERMAL ZONE 4:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4::Des Cool Mass Flow [kg/s],THERMAL ZONE 5:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:BOISE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:BOISE ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:BOISE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s] 
11:00:00,2.993214E+03,0.000000E+00,1.834596E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,1.202791E+03,1.834596E-01,8.417557E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
11:15:00,2.993214E+03,0.000000E+00,1.834596E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,1.194617E+03,1.834596E-01,8.360372E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
11:30:00,2.993214E+03,1.813317E+01,1.834596E-01,1.276466E-03,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,1.167739E+03,1.834596E-01,8.172280E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
11:45:00,2.993214E+03,9.125087E+01,1.834596E-01,6.393758E-03,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,1.120066E+03,1.834596E-01,7.838656E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
12:00:00,2.993214E+03,1.756532E+02,1.834596E-01,1.230044E-02,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,1.044994E+03,1.834596E-01,7.313272E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
12:15:00,2.993214E+03,2.935926E+02,1.834596E-01,2.055410E-02,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,9.381605E+02,1.834596E-01,6.565614E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
12:30:00,2.993214E+03,4.245252E+02,1.834596E-01,2.970950E-02,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,8.033365E+02,1.834596E-01,5.622064E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
12:45:00,2.993214E+03,5.276937E+02,1.834596E-01,3.692900E-02,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,6.547152E+02,1.834596E-01,4.581955E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
13:00:00,2.993214E+03,6.435695E+02,1.834596E-01,4.503809E-02,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,5.092628E+02,1.834596E-01,3.564023E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
13:15:00,2.993214E+03,7.460971E+02,1.834596E-01,5.221311E-02,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00,2.993214E+03,3.888415E+02,1.834596E-01,2.721268E-02,3.864489E+03,0.000000E+00,2.368617E-01,0.000000E+00,2.998353E+03,0.000000E+00,1.837746E-01,0.000000E+00 
